#,Location,Fantastical nature,Current State of Location,Situation,Complication,NPC,Adversaries
1,Market,"Floating, anchored in the sky by great chains sunk into the ground",Inhabited by owners,A powerful ward or seal is failing,The true cause of the problem is helping the location in a different way,A weary leader trying to hold everything together,"Cult fanatic, elemental, veteran (pirate)"
2,Forest,The trees whisper secrets,Inhabited by invaders/monsters,A cult is performing a ritual that must be stopped,Solving the problem will anger a powerful outside faction,A fanatic who believes the disaster is a blessing,"Blights, corrupted treants, demon-infested beasts"
3,Desert town,Inside a colossal skull,under seige,Something long-imprisoned is waking up,The problem was intentionally caused as a test,A scholar who understands the problem but fears the solution,"Intellect Devourer, Gibbering Mouther, Cult Fanatic"
4,A lighthouse,at the edge of the world,Abandoned,Time is behaving unpredictably,A previous group of adventurers failed and made things worse,A merchant profiting from the chaos,"Drowned undead, sea hags, will-o’-wisps"
5,A mountain monastery,Carved inside a waterfall,Destroyed,Supplies or vital resources have suddenly stopped,The threat can be reasoned with—but only briefly,A guard or protector questioning their loyalty,"Sea Hag, Will-o’-Wisp, Drowned Zombie (reskinned Zombie)"
6,A village,Exists in two time periods at once,Missing,A key guardian has gone missing or turned hostile,The obvious villain is a scapegoat,A child who knows more than they should,"Temporal horrors, Phase Spider, Specter, Blink Dog (hostile variant)"
7,A library,Grown from a great tree -  it is alive,Ruined long ago,The location is slowly becoming uninhabitable,Fixing the issue requires sacrificing something valuable,A spirit bound to the location,"Nothic, Shadow Demon, Animated Armor (book construct or cursed tome)"
8,A lost temple,Sunken; Visible only at low tide,,Reality is warping in subtle but dangerous ways,The problem is spreading faster than expected,A former hero living with past failure,"Sahuagin raiders, abyssal cultists"
9,A carnival,only appears at night,,A rival faction is sabotaging operations from within,Someone important is lying about what really happened,A secret agent of a rival faction,"Fey predators, fiendish illusionists"
10,A castle,built on the back of a slumbering colossus,,The dead are refusing to stay dead,The solution is known but morally questionable,An inventor or mage whose creation caused the problem,"Earth elementals, cult shock troops"
11,A border town,straddles a planar rift,,A magical power source is overloaded or failing/experiment gone wrong,Time is limited—delay will cause irreversible damage,A priest whose god has gone silent—or too loud,"Fiends, aberrations, planar cultists"
12,A crystal cavern,It amplifies magic,,Is under seige,The location itself is sentient and afraid,A monster who claims to be innocent,"Living spells, arcane horrors"
13,A bridge,It is high in the sky -  it connects two rival kingdoms,,"A creature is feeding on fear, dreams, or memories","A partial solution exists, but it will not last",A local criminal exploiting the situation,"Assassins, griffon-mounted killers"
14,A fey court in the act of celebrating something,It is frozen in time,,A bargain or ancient pact has been broken,The problem is a symptom of something much larger,An outsider trapped by events beyond their control,"Hostile eladrin, animated enchantments"
15,A necropolis,Ruled over by a lich,,People are going missing,A powerful artifact is making the situation worse,A noble or official refusing to admit fault,"Wights, necromantic cultists"
16,A volcanic forge that creates living weapons,,,A powerful artifact has been stolen or corrupted,An ally will betray the party if pushed too far,A talking animal or construct tied to the location,"Living blades, hellfire elementals"
17,A Seaside Town Built on Stilts Over Deep Water,,,Visitors enter but do not return,The party is being watched and judged,A cultist having doubts,"A vampire coterie, sent by Strahd von Zarovich"
18,A hidden valley,Protected by an ancient illusion,,A prophecy or omen is rapidly coming true,The “safe” choice will have long-term consequences,A survivor who saw the disaster begin,"Mercenaries, fiend-backed scouts"
19,A city,Made of clockwork powered by arcane machinery,,Two planes are beginning to overlap,The problem is not natural—it was imported from elsewhere,A being from another plane stranded here,"Clockwork enforcers, lawful-evil constructs"
20,A Remote Shrine Dedicated to a Forgotten God,,,The local government is being taken over by lookalikes/mind control,Success will permanently change the location,Someone who wants the problem to continue,"Fanatical priests, eldritch horrors"
21,An ancient gateway,,,Rumoured to be full of treasure and ancient secrets,Innocent people are being blamed for the disaster,A holier than thou paladin,
22,A swamp hut/village,,,The home of a lich,Fixing the problem will cause a different disaster,Murray Baumann from Stranger Things analog.  A paranormal investigator,"Temporal horrors, phase spiders"
23,A dwarven fortress,,,The home of a warlord terrorising the surrounding countryside.  Exacting heavy tolls on all and those who cant pay are turned into slaves.,,"A big always hungry simple super happy barbarian named Steve.  Sounds like Schwarzenegger.  Solution is always ""do you want me to kill them?""",
24,An ancient monument,,,An old god is weak because it does not have enough worshippers.  It asks for help in finding new worshippers in exchange for power (take a level in paladin or cleric for free?),,,
25,A wizard's tower,,,"A devil/demon has been summoned.  it may be willing to make a deal.
A devil offers you a bargain. Can max one stat to 20 but have to drop another to 3. You choose the 20, DM chooses the 3z. Do you accept?
",,,
26,A watch tower,,,A battle is underway between two factions,,,
27,Ancient barrows,,,Reclaimers are searching ruins for Forerunner tech (Holy relics).  They are hostile to adventurers,,,
28,A nest (of monsters),,,Evidence of a massacre or battle,,,
28,A bandit hideout,,,Bandits have kidnapped villagers and are ransoming them back,,,
28,Observe some sky whales,,,A team of academics investigating rumours of strange happenings,,,
28,A wasteland destroyed by a magical battle (like a nuclear wasteland),,,,,,
28,A graveyard,,,,,,
28,A grand tower on an island in the middle of a great waterfall.,,,,,,
28,A lost library inhabited by supernatural beings,,,,,,